date,type,value
25-Jun,views,26.008721
25-Jun,views,30.398482
25-Jun,views,25.236952
25-Jun,views,17.232932
25-Jun,views,15.459130
25-Jun,views,21.186957
25-Jun,views,26.812069
25-Jun,views,24.900845
25-Jun,views,17.019878
25-Jun,views,12.264770
25-Jun,views,16.992389
25-Jun,views,27.240689
25-Jun,views,32.506408
25-Jun,views,26.985863
25-Jun,views,15.999301
25-Jun,views,48.600000
25-Jun,views,73.200000
25-Jun,views,71.200000
02-Jul,posts,30.200595
02-Jul,posts,22.586510
02-Jul,posts,13.653674
02-Jul,posts,19.784873
02-Jul,posts,31.604236
02-Jul,posts,30.171071
02-Jul,posts,20.191867
02-Jul,posts,20.445902
02-Jul,posts,29.327460
02-Jul,posts,28.318808
02-Jul,posts,16.810654
02-Jul,posts,14.391214
02-Jul,posts,25.870125
02-Jul,posts,32.333461
02-Jul,posts,24.593353
02-Jul,posts,18.657133
02-Jul,posts,25.682415
02-Jul,posts,31.510440
02-Jul,posts,23.083973
02-Jul,posts,13.381855
02-Jul,posts,18.948715
02-Jul,posts,30.337668
02-Jul,posts,28.963621
02-Jul,posts,19.875007
02-Jul,posts,21.340298
02-Jul,posts,30.783315
02-Jul,posts,53.600000
02-Jul,posts,72.800000
02-Jul,views,33.518279
02-Jul,views,25.736007
02-Jul,views,16.273623
02-Jul,views,24.518988
02-Jul,views,38.613363
02-Jul,views,35.502465
02-Jul,views,21.618146
02-Jul,views,20.806910
02-Jul,views,31.639976
02-Jul,views,31.415242
02-Jul,views,18.894675
02-Jul,views,17.351700
02-Jul,views,32.001833
02-Jul,views,39.353054
02-Jul,views,28.406661
02-Jul,views,19.514459
02-Jul,views,27.151199
02-Jul,views,34.410152
02-Jul,views,25.209229
02-Jul,views,14.930880
02-Jul,views,23.099543
02-Jul,views,37.471474
02-Jul,views,35.039479
02-Jul,views,22.362245
02-Jul,views,22.604197
02-Jul,views,33.354737
02-Jul,views,56.900000
02-Jul,views,85.100000
09-Jul,posts,36.757926
09-Jul,posts,21.837247
09-Jul,posts,20.686869
09-Jul,posts,36.486031
09-Jul,posts,32.093840
09-Jul,posts,23.272524
09-Jul,posts,36.272873
09-Jul,posts,39.053375
09-Jul,posts,22.480342
09-Jul,posts,24.615542
09-Jul,posts,35.652716
09-Jul,posts,25.041705
09-Jul,posts,20.583579
09-Jul,posts,37.152073
09-Jul,posts,37.056416
09-Jul,posts,23.984636
09-Jul,posts,31.930336
09-Jul,posts,38.157100
09-Jul,posts,22.394712
09-Jul,posts,20.671117
09-Jul,posts,35.421022
09-Jul,posts,30.222945
09-Jul,posts,22.133103
09-Jul,posts,36.337896
09-Jul,posts,39.701035
09-Jul,posts,23.800733
09-Jul,posts,61.900000
09-Jul,posts,66.700000
09-Jul,views,39.835091
09-Jul,views,23.723553
09-Jul,views,24.037690
09-Jul,views,43.767870
09-Jul,views,38.037173
09-Jul,views,25.952634
09-Jul,views,39.691290
09-Jul,views,41.759683
09-Jul,views,21.827405
09-Jul,views,25.524100
09-Jul,views,40.553287
09-Jul,views,29.447751
09-Jul,views,24.732328
09-Jul,views,43.920988
09-Jul,views,42.185215
09-Jul,views,24.726020
09-Jul,views,33.131778
09-Jul,views,40.705979
09-Jul,views,23.112964
09-Jul,views,22.885009
09-Jul,views,42.050839
09-Jul,views,36.260602
09-Jul,views,25.733547
09-Jul,views,41.042514
09-Jul,views,43.321044
09-Jul,views,23.327158
09-Jul,views,65.200000
09-Jul,views,79.000000
16-Jul,posts,38.959876
16-Jul,posts,28.464665
16-Jul,posts,35.857105
16-Jul,posts,37.608808
16-Jul,posts,30.620395
16-Jul,posts,40.948895
16-Jul,posts,38.433489
16-Jul,posts,32.042434
16-Jul,posts,40.659946
16-Jul,posts,33.270269
16-Jul,posts,30.114895
16-Jul,posts,39.413799
16-Jul,posts,31.907781
16-Jul,posts,34.473052
16-Jul,posts,42.524993
16-Jul,posts,32.967876
16-Jul,posts,36.985460
16-Jul,posts,39.720658
16-Jul,posts,28.902753
16-Jul,posts,35.913583
16-Jul,posts,36.691161
16-Jul,posts,29.702709
16-Jul,posts,40.398325
16-Jul,posts,38.077808
16-Jul,posts,32.659831
16-Jul,posts,41.657276
16-Jul,posts,70.200000
16-Jul,posts,78.600000
16-Jul,posts,85.600000
16-Jul,views,42.275249
16-Jul,views,29.524281
16-Jul,views,40.469282
16-Jul,views,43.334006
16-Jul,views,33.743893
16-Jul,views,46.435754
16-Jul,views,41.869392
16-Jul,views,32.541460
16-Jul,views,43.924959
16-Jul,views,34.879757
16-Jul,views,31.903137
16-Jul,views,45.319797
16-Jul,views,35.775526
16-Jul,views,38.740253
16-Jul,views,48.341619
16-Jul,views,34.450016
16-Jul,views,39.037968
16-Jul,views,42.745854
16-Jul,views,29.249619
16-Jul,views,39.784900
16-Jul,views,41.820448
16-Jul,views,32.836887
16-Jul,views,46.472311
16-Jul,views,42.250093
16-Jul,views,33.887044
16-Jul,views,45.193894
16-Jul,views,73.500000
16-Jul,views,90.900000
16-Jul,views,88.900000
23-Jul,posts,43.767048
23-Jul,posts,33.280103
23-Jul,posts,46.024252
23-Jul,posts,35.083267
23-Jul,posts,44.605171
23-Jul,posts,44.551255
23-Jul,posts,39.415995
23-Jul,posts,49.506713
23-Jul,posts,35.114627
23-Jul,posts,44.702021
23-Jul,posts,37.765555
23-Jul,posts,37.250805
23-Jul,posts,45.901565
23-Jul,posts,35.693796
23-Jul,posts,49.679945
23-Jul,posts,40.012485
23-Jul,posts,43.233356
23-Jul,posts,44.587751
23-Jul,posts,34.032875
23-Jul,posts,45.859658
23-Jul,posts,34.019010
23-Jul,posts,43.746558
23-Jul,posts,43.368415
23-Jul,posts,39.498977
23-Jul,posts,50.025491
23-Jul,posts,36.145617
23-Jul,posts,78.500000
23-Jul,posts,90.500000
23-Jul,views,46.413655
23-Jul,views,34.482175
23-Jul,views,51.969624
23-Jul,views,38.717731
23-Jul,views,50.431463
23-Jul,views,49.179029
23-Jul,views,41.234595
23-Jul,views,53.052048
23-Jul,views,34.730216
23-Jul,views,47.781655
23-Jul,views,40.392220
23-Jul,views,40.990283
23-Jul,views,52.452145
23-Jul,views,38.989559
23-Jul,views,55.468946
23-Jul,views,41.799195
23-Jul,views,45.018515
23-Jul,views,46.827057
23-Jul,views,34.440328
23-Jul,views,50.876644
23-Jul,views,37.023374
23-Jul,views,49.704318
23-Jul,views,48.571858
23-Jul,views,42.332842
23-Jul,views,54.322815
23-Jul,views,35.974388
23-Jul,views,81.800000
23-Jul,views,102.800000
30-Jul,posts,47.359847
30-Jul,posts,41.953296
30-Jul,posts,48.956412
30-Jul,posts,40.944506
30-Jul,posts,54.331634
30-Jul,posts,42.674339
30-Jul,posts,57.697222
30-Jul,posts,41.447759
30-Jul,posts,55.405629
30-Jul,posts,38.027781
30-Jul,posts,51.878868
30-Jul,posts,38.511110
30-Jul,posts,52.024285
30-Jul,posts,43.929400
30-Jul,posts,53.036040
30-Jul,posts,48.254158
30-Jul,posts,49.497573
30-Jul,posts,48.227575
30-Jul,posts,43.069632
30-Jul,posts,48.365450
30-Jul,posts,40.235647
30-Jul,posts,52.699130
30-Jul,posts,41.862220
30-Jul,posts,57.367537
30-Jul,posts,42.241594
30-Jul,posts,56.722100
30-Jul,posts,86.800000
30-Jul,posts,84.400000
30-Jul,views,49.210018
30-Jul,views,44.138264
30-Jul,views,54.242807
30-Jul,views,45.122589
30-Jul,views,61.141939
30-Jul,views,45.477363
30-Jul,views,62.291809
30-Jul,views,41.216786
30-Jul,views,58.282792
30-Jul,views,37.959172
30-Jul,views,56.575900
30-Jul,views,41.590053
30-Jul,views,58.737954
30-Jul,views,48.213890
30-Jul,views,57.952745
30-Jul,views,50.477894
30-Jul,views,51.015380
30-Jul,views,49.559039
30-Jul,views,44.371367
30-Jul,views,52.508206
30-Jul,views,43.859448
30-Jul,views,59.550738
30-Jul,views,45.499784
30-Jul,views,63.020162
30-Jul,views,42.890599
30-Jul,views,59.826410
30-Jul,views,90.100000
30-Jul,views,96.700000
06-Aug,posts,49.905940
06-Aug,posts,53.607197
06-Aug,posts,45.502962
06-Aug,posts,58.134825
06-Aug,posts,46.751751
06-Aug,posts,64.154826
06-Aug,posts,47.654140
06-Aug,posts,64.561919
06-Aug,posts,44.410890
06-Aug,posts,59.989207
06-Aug,posts,42.196585
06-Aug,posts,57.546273
06-Aug,posts,46.412527
06-Aug,posts,58.828978
06-Aug,posts,53.277120
06-Aug,posts,57.565872
06-Aug,posts,55.778101
06-Aug,posts,50.850929
06-Aug,posts,54.937126
06-Aug,posts,44.791465
06-Aug,posts,57.333635
06-Aug,posts,44.872848
06-Aug,posts,63.200116
06-Aug,posts,47.311189
06-Aug,posts,65.422847
06-Aug,posts,45.995784
06-Aug,posts,95.100000
06-Aug,posts,96.300000
06-Aug,posts,103.300000
06-Aug,views,50.915680
06-Aug,views,57.109536
06-Aug,views,49.094328
06-Aug,views,65.030711
06-Aug,views,50.926319
06-Aug,views,70.253414
06-Aug,views,48.655665
06-Aug,views,67.645741
06-Aug,views,43.427732
06-Aug,views,63.226622
06-Aug,views,43.723417
06-Aug,views,63.713662
06-Aug,views,51.002167
06-Aug,views,65.217501
06-Aug,views,56.946278
06-Aug,views,60.281567
06-Aug,views,57.028552
06-Aug,views,51.242543
06-Aug,views,57.424207
06-Aug,views,47.108283
06-Aug,views,63.629684
06-Aug,views,49.140156
06-Aug,views,70.255574
06-Aug,views,49.518217
06-Aug,views,69.462555
06-Aug,views,45.244307
06-Aug,views,98.400000
06-Aug,views,108.600000
06-Aug,views,106.600000
13-Aug,posts,55.264667
13-Aug,posts,62.304780
13-Aug,posts,51.963283
13-Aug,posts,62.693939
13-Aug,posts,57.806791
13-Aug,posts,59.644950
13-Aug,posts,64.931935
13-Aug,posts,55.182171
13-Aug,posts,64.516945
13-Aug,posts,54.471159
13-Aug,posts,58.082724
13-Aug,posts,59.756037
13-Aug,posts,53.992147
13-Aug,posts,65.382476
13-Aug,posts,56.125507
13-Aug,posts,63.670947
13-Aug,posts,60.735156
13-Aug,posts,55.854162
13-Aug,posts,62.951695
13-Aug,posts,51.864138
13-Aug,posts,61.730428
13-Aug,posts,57.217340
13-Aug,posts,58.569851
13-Aug,posts,65.059403
13-Aug,posts,55.612923
13-Aug,posts,65.295038
13-Aug,posts,103.400000
13-Aug,posts,108.200000
13-Aug,views,56.192517
13-Aug,views,66.715706
13-Aug,views,54.122936
13-Aug,views,68.905180
13-Aug,views,62.104018
13-Aug,views,63.526883
13-Aug,views,69.316419
13-Aug,views,55.530565
13-Aug,views,67.866067
13-Aug,views,55.295485
13-Aug,views,61.300439
13-Aug,views,64.595858
13-Aug,views,57.363867
13-Aug,views,72.041851
13-Aug,views,58.669575
13-Aug,views,67.477729
13-Aug,views,62.836655
13-Aug,views,56.435779
13-Aug,views,66.718216
13-Aug,views,53.232001
13-Aug,views,67.330748
13-Aug,views,61.632670
13-Aug,views,62.867245
13-Aug,views,70.338391
13-Aug,views,56.628420
13-Aug,views,68.844015
13-Aug,views,106.700000
13-Aug,views,120.500000
20-Aug,posts,58.491483
20-Aug,posts,69.288654
20-Aug,posts,60.610402
20-Aug,posts,60.447948
20-Aug,posts,72.380865
20-Aug,posts,62.649986
20-Aug,posts,65.997848
20-Aug,posts,72.804453
20-Aug,posts,59.328720
20-Aug,posts,64.590730
20-Aug,posts,67.547864
20-Aug,posts,56.430035
20-Aug,posts,67.500601
20-Aug,posts,68.736933
20-Aug,posts,60.610670
20-Aug,posts,72.440479
20-Aug,posts,67.015640
20-Aug,posts,59.302734
20-Aug,posts,69.730993
20-Aug,posts,60.903413
20-Aug,posts,59.155513
20-Aug,posts,71.245342
20-Aug,posts,62.175344
20-Aug,posts,65.349398
20-Aug,posts,73.615370
20-Aug,posts,60.689774
20-Aug,posts,111.700000
20-Aug,posts,102.100000
20-Aug,views,58.753610
20-Aug,views,73.824366
20-Aug,views,64.134142
20-Aug,views,64.556506
20-Aug,views,79.328984
20-Aug,views,65.799808
20-Aug,views,68.617542
20-Aug,views,76.268583
20-Aug,views,59.109289
20-Aug,views,66.673301
20-Aug,views,71.835448
20-Aug,views,58.981843
20-Aug,views,73.513610
20-Aug,views,74.569659
20-Aug,views,62.995986
20-Aug,views,76.598888
20-Aug,views,68.849772
20-Aug,views,59.155020
20-Aug,views,73.388687
20-Aug,views,63.621707
20-Aug,views,62.572670
20-Aug,views,78.250535
20-Aug,views,66.091096
20-Aug,views,68.787853
20-Aug,views,77.909976
20-Aug,views,60.772200
20-Aug,views,115.000000
20-Aug,views,114.400000
27-Aug,posts,61.924402
27-Aug,posts,72.453802
27-Aug,posts,73.868299
27-Aug,posts,62.788646
27-Aug,posts,70.066484
27-Aug,posts,81.161128
27-Aug,posts,71.145053
27-Aug,posts,66.409938
27-Aug,posts,77.213952
27-Aug,posts,72.496345
27-Aug,posts,60.470546
27-Aug,posts,69.595137
27-Aug,posts,77.341421
27-Aug,posts,67.068226
27-Aug,posts,68.799090
27-Aug,posts,81.111842
27-Aug,posts,73.312411
27-Aug,posts,63.069463
27-Aug,posts,72.597992
27-Aug,posts,74.104083
27-Aug,posts,62.072277
27-Aug,posts,68.082310
27-Aug,posts,80.153974
27-Aug,posts,71.571598
27-Aug,posts,66.794293
27-Aug,posts,78.083632
27-Aug,posts,120.000000
27-Aug,posts,114.000000
27-Aug,posts,121.000000
27-Aug,views,61.715865
27-Aug,views,76.211037
27-Aug,views,79.453605
27-Aug,views,66.566660
27-Aug,views,75.084731
27-Aug,views,87.356078
27-Aug,views,73.426489
27-Aug,views,66.489335
27-Aug,views,79.682884
27-Aug,views,74.904117
27-Aug,views,61.747961
27-Aug,views,74.379301
27-Aug,views,84.446336
27-Aug,views,71.247638
27-Aug,views,71.930161
27-Aug,views,85.444925
27-Aug,views,74.879169
27-Aug,views,62.405408
27-Aug,views,75.250493
27-Aug,views,78.734123
27-Aug,views,65.294297
27-Aug,views,73.061731
27-Aug,views,87.139026
27-Aug,views,75.083376
27-Aug,views,67.660368
27-Aug,views,80.677911
27-Aug,views,123.300000
27-Aug,views,126.300000
27-Aug,views,124.300000
03-Sep,posts,66.153639
03-Sep,posts,72.093499
03-Sep,posts,82.689564
03-Sep,posts,78.971239
03-Sep,posts,69.673903
03-Sep,posts,74.492885
03-Sep,posts,87.123970
03-Sep,posts,85.485867
03-Sep,posts,71.231441
03-Sep,posts,67.394363
03-Sep,posts,78.114622
03-Sep,posts,82.512019
03-Sep,posts,73.115783
03-Sep,posts,69.124318
03-Sep,posts,80.669129
03-Sep,posts,89.112228
03-Sep,posts,79.625452
03-Sep,posts,67.757307
03-Sep,posts,72.128175
03-Sep,posts,82.173347
03-Sep,posts,78.505972
03-Sep,posts,68.518262
03-Sep,posts,72.664678
03-Sep,posts,86.367514
03-Sep,posts,86.875206
03-Sep,posts,73.372439
03-Sep,posts,128.300000
03-Sep,posts,125.900000
03-Sep,views,65.709077
03-Sep,views,74.584337
03-Sep,views,88.968391
03-Sep,views,85.320482
03-Sep,views,73.714391
03-Sep,views,77.968232
03-Sep,views,91.264582
03-Sep,views,88.040361
03-Sep,views,70.885315
03-Sep,views,67.428403
03-Sep,views,82.077988
03-Sep,views,88.949556
03-Sep,views,78.319254
03-Sep,views,72.881150
03-Sep,views,85.088354
03-Sep,views,93.399729
03-Sep,views,80.924829
03-Sep,views,66.824908
03-Sep,views,73.347552
03-Sep,views,87.216252
03-Sep,views,84.321823
03-Sep,views,72.794553
03-Sep,views,76.924115
03-Sep,views,91.631837
03-Sep,views,90.490105
03-Sep,views,73.367992
03-Sep,views,131.600000
03-Sep,views,138.200000
10-Sep,posts,76.869203
10-Sep,posts,76.535866
10-Sep,posts,81.952783
10-Sep,posts,87.213476
10-Sep,posts,87.108340
10-Sep,posts,82.572258
10-Sep,posts,79.261647
10-Sep,posts,81.015417
10-Sep,posts,85.540233
10-Sep,posts,87.107000
10-Sep,posts,83.210848
10-Sep,posts,77.701491
10-Sep,posts,76.762249
10-Sep,posts,82.054253
10-Sep,posts,88.587548
10-Sep,posts,89.804643
10-Sep,posts,84.484573
10-Sep,posts,78.028057
10-Sep,posts,76.739109
10-Sep,posts,81.281159
10-Sep,posts,86.311933
10-Sep,posts,86.522423
10-Sep,posts,82.363788
10-Sep,posts,79.221984
10-Sep,posts,81.106152
10-Sep,posts,85.974996
10-Sep,views,77.143993
10-Sep,views,77.880602
10-Sep,views,86.203545
10-Sep,views,93.725656
10-Sep,views,93.271529
10-Sep,views,86.234037
10-Sep,views,80.612219
10-Sep,views,82.094692
10-Sep,views,88.046067
10-Sep,views,90.888510
10-Sep,views,86.928676
10-Sep,views,80.690734
10-Sep,views,79.862365
10-Sep,views,86.446210
10-Sep,views,94.031919
10-Sep,views,94.440634
10-Sep,views,86.634973
10-Sep,views,78.142949
10-Sep,views,77.294238
10-Sep,views,84.552774
10-Sep,views,92.233473
10-Sep,views,92.804871
10-Sep,views,86.724652
10-Sep,views,81.412362
10-Sep,views,82.741251
10-Sep,views,88.568322
17-Sep,posts,82.972044
17-Sep,posts,79.797340
17-Sep,posts,81.129189
17-Sep,posts,86.285810
17-Sep,posts,92.651703
17-Sep,posts,97.005087
17-Sep,posts,97.149582
17-Sep,posts,93.023197
17-Sep,posts,86.724260
17-Sep,posts,81.443829
17-Sep,posts,79.848015
17-Sep,posts,82.730828
17-Sep,posts,88.618736
17-Sep,posts,94.524075
17-Sep,posts,97.461982
17-Sep,posts,95.960204
17-Sep,posts,90.797552
17-Sep,posts,84.600262
17-Sep,posts,80.505345
17-Sep,posts,80.571572
17-Sep,posts,84.743504
17-Sep,posts,90.890332
17-Sep,posts,95.894545
17-Sep,posts,97.234041
17-Sep,posts,94.254280
17-Sep,posts,88.488308
17-Sep,posts,138.700000
17-Sep,views,83.470739
17-Sep,views,80.815983
17-Sep,views,83.825141
17-Sep,views,90.995585
17-Sep,views,98.705420
17-Sep,views,103.044339
17-Sep,views,101.798101
17-Sep,views,95.578929
17-Sep,views,87.524527
17-Sep,views,81.713799
17-Sep,views,81.099819
17-Sep,views,86.008223
17-Sep,views,93.964975
17-Sep,views,100.944392
17-Sep,views,103.407351
17-Sep,views,100.097047
17-Sep,views,92.680556
17-Sep,views,84.908600
17-Sep,views,80.717343
17-Sep,views,82.233550
17-Sep,views,88.694747
17-Sep,views,96.832985
17-Sep,views,102.528889
17-Sep,views,102.898221
17-Sep,views,97.753368
17-Sep,views,89.698697
17-Sep,views,142.000000
