month,zika,mers,ebola,cellPhonesTumors,swineFlu,birdFlu,killerWasps,sars,asteroids,madCow,vaccinesAutism,violentVideoGames,millenniumBug
31,0.9,0.8,0.6,35.4,0.7,22.2,52.3,9.7,35.9,1.1,23.3,20.0,20.8
32,0.6,0.7,0.4,28.6,0.8,24.5,38.4,10.2,28.9,1.6,21.8,18.5,17.9
33,0.3,0.4,0.2,33.3,0.8,27.1,22.3,10.0,30.8,1.8,11.9,18.6,21.8
34,0.9,0.5,0.5,28.0,0.6,27.9,22.3,8.8,35.8,1.2,16.5,20.6,15.7
35,0.8,0.3,0.6,33.4,0.9,23.8,14.7,6.7,34.1,0.9,14.9,15.8,15.8
36,0.7,0.6,0.2,27.3,0.6,19.2,18.2,10.6,35.1,1.6,18.5,16.8,17.5
37,0.6,0.3,0.4,31.3,0.4,10.9,10.2,10.5,32.6,1.0,19.3,17.1,12.3
38,0.9,0.8,0.5,27.0,0.6,5.8,12.1,7.7,35.2,1.1,17.2,22.9,14.8
39,0.4,0.8,0.4,29.2,0.7,4.9,11.3,4.9,29.4,1.5,11.7,32.8,17.0
40,0.3,0.4,0.5,29.4,0.6,3.6,16.7,6.6,32.5,1.2,6.5,31.5,14.9
41,0.4,0.6,0.3,28.3,0.8,2.3,18.4,6.5,31.5,0.9,9.3,34.6,16.7
42,0.4,0.7,0.3,24.2,0.6,2.7,19.7,9.8,34.7,1.1,15.6,33.8,15.8
43,0.8,0.4,0.5,29.7,0.9,3.7,15.1,6.4,35.6,0.6,9.3,35.0,16.6
44,0.9,0.8,0.4,25.2,1.1,2.4,14.3,13.4,30.9,1.0,9.9,37.7,16.5
45,0.9,0.3,0.5,25.2,0.9,4.1,10.1,18.8,34.6,1.6,10.1,33.5,14.0
46,0.8,0.5,0.4,24.1,1.0,2.5,16.3,26.9,27.5,1.6,17.4,36.9,17.1
47,0.3,0.6,0.5,22.9,0.6,1.6,7.5,21.6,26.5,1.1,11.1,26.3,15.9
48,0.9,0.5,0.3,25.2,1.0,1.9,18.8,14.0,26.6,1.3,10.0,27.0,9.0
49,0.9,0.6,0.5,21.6,0.9,1.6,15.9,9.1,31.4,1.3,23.2,29.4,11.8
50,0.8,0.7,0.6,21.9,0.9,4.0,7.9,10.5,28.9,1.5,28.8,18.9,10.8
51,1.0,0.8,0.4,23.1,1.0,4.0,11.9,7.2,29.3,0.9,39.2,23.0,8.5
52,0.5,0.7,0.4,26.4,0.7,1.3,15.4,6.3,26.9,1.4,32.5,20.2,13.4
53,0.3,0.8,0.4,23.9,1.0,1.5,17.2,6.5,34.0,1.1,27.7,14.0,12.7
54,0.6,0.6,0.4,26.0,1.0,1.9,12.1,7.8,30.1,1.4,19.9,21.5,7.5
55,0.6,0.5,0.4,21.2,0.6,2.6,10.0,10.8,30.1,0.6,22.3,17.5,12.6
56,0.8,0.7,0.5,20.7,1.0,2.0,18.7,4.4,26.8,0.7,20.3,16.7,11.1
57,0.6,0.7,0.5,19.9,0.5,4.2,11.3,6.5,28.1,1.7,23.8,21.3,7.3
58,0.5,0.4,0.3,20.6,1.3,3.9,18.7,9.7,31.0,1.7,17.8,29.6,9.0
59,1.0,0.6,0.3,20.6,1.1,3.4,11.0,8.7,32.7,1.5,12.9,30.1,8.7
60,0.9,0.5,0.5,21.3,1.9,2.7,9.3,5.5,34.3,1.1,22.1,27.0,10.2
61,0.9,0.6,0.4,24.2,2.7,4.3,15.1,4.3,27.0,1.5,16.5,33.8,10.4
62,0.3,0.6,0.6,23.8,5.2,2.1,12.4,9.0,28.2,0.7,16.6,30.7,8.0
63,0.7,0.7,0.5,17.5,17.1,2.8,12.3,6.0,31.3,1.2,10.7,32.9,11.9
64,0.7,0.6,0.3,20.5,69.5,2.6,11.4,8.8,29.5,0.6,10.2,33.2,14.5
65,0.3,0.8,0.6,21.3,100.0,1.3,17.8,9.4,24.8,1.0,12.5,33.0,8.7
66,0.3,0.6,0.6,20.5,100.0,2.4,18.9,5.8,29.4,0.9,12.7,35.4,6.7
67,0.9,0.6,0.5,22.8,76.9,3.3,17.7,10.9,27.1,0.8,6.4,31.3,12.0
68,0.9,0.5,0.4,18.9,78.3,4.1,7.1,7.8,26.6,1.0,13.2,24.7,10.7
69,0.4,0.5,0.5,22.2,75.3,4.3,19.2,10.3,32.4,1.3,8.9,26.3,7.5
70,0.8,0.5,0.4,29.8,63.2,1.7,26.8,10.0,24.9,1.5,12.9,17.7,7.4
71,1.0,0.4,0.4,32.4,48.7,2.6,32.3,9.8,28.0,0.9,7.9,16.2,7.0
72,0.5,0.7,0.3,40.3,37.3,2.1,36.9,6.5,29.3,1.0,11.7,21.7,12.3
73,0.4,0.8,0.6,37.2,29.5,2.0,33.2,9.5,24.7,0.9,14.0,22.8,12.1
74,0.6,0.4,0.6,29.8,24.8,3.3,27.0,6.9,24.0,0.8,19.7,34.0,4.9
75,0.9,0.6,0.6,20.1,21.0,3.2,11.4,5.1,32.1,1.5,17.4,48.7,8.1
76,0.6,0.7,0.5,18.7,17.6,2.7,11.7,9.9,32.8,1.0,12.0,42.0,13.2
77,0.5,0.5,0.4,17.2,14.5,2.2,17.1,4.7,28.3,0.7,12.9,25.5,13.4
78,0.5,0.3,0.3,17.3,11.5,4.4,7.4,5.0,23.2,1.5,14.8,30.6,12.2
79,0.7,0.7,0.3,18.8,8.9,2.1,17.5,4.2,25.6,1.3,17.2,34.6,6.4
80,0.3,0.6,0.4,19.4,6.2,2.8,11.6,8.2,28.4,0.7,19.2,28.4,13.0
81,0.8,0.6,0.3,16.8,4.5,2.7,14.8,10.7,30.6,1.0,24.1,37.5,6.7
82,0.7,0.7,0.5,15.1,3.0,3.3,11.8,9.1,28.5,1.2,22.5,29.9,10.6
83,0.7,0.5,0.3,14.8,2.3,1.6,8.4,8.5,27.0,0.8,14.8,31.3,6.1
84,1.0,0.7,0.3,19.7,1.9,4.3,10.6,6.6,27.1,1.4,14.7,32.0,5.8
85,0.4,0.5,0.5,16.0,1.2,2.3,6.6,7.1,31.3,1.3,18.0,31.1,8.8
86,0.2,0.4,0.2,15.1,1.0,4.4,14.0,4.6,41.8,1.1,18.4,36.0,10.3
87,0.9,0.7,0.3,12.2,0.9,3.4,11.8,5.8,52.8,1.0,19.7,27.8,11.0
88,0.4,0.7,0.6,17.1,0.5,2.1,12.1,8.5,39.5,1.3,18.2,23.8,8.7
89,0.5,0.5,0.5,14.5,0.9,3.8,14.5,5.9,32.9,0.8,20.3,19.9,8.0
90,0.4,0.7,0.4,14.1,0.5,3.7,14.8,6.3,25.6,0.7,15.8,25.0,11.5
91,0.6,0.7,0.3,18.4,0.7,4.2,11.4,8.2,24.2,1.4,12.0,23.5,11.9
92,0.4,0.7,0.3,16.3,0.4,3.9,6.8,7.5,22.5,1.2,12.2,19.6,10.1
93,0.5,0.5,0.5,18.0,1.0,2.3,16.7,8.1,29.7,0.7,5.7,15.5,6.9
94,0.9,0.8,0.5,11.4,0.6,1.7,12.8,8.0,21.9,1.0,6.4,22.2,3.7
95,0.4,0.4,0.5,14.3,0.5,3.1,10.7,8.9,26.3,0.5,9.7,16.4,12.3
96,0.6,0.6,0.5,14.1,0.7,1.9,10.4,7.5,27.9,1.7,7.1,22.2,9.8
97,0.7,0.4,0.5,15.9,0.7,2.5,7.7,9.0,28.6,0.6,16.4,28.7,11.9
98,0.2,0.6,0.4,17.1,0.6,2.5,13.6,6.6,30.8,1.6,7.1,25.8,9.9
99,0.3,0.4,0.4,15.6,1.0,1.3,10.4,10.6,26.8,1.0,11.5,29.5,7.5
100,0.6,0.5,0.3,13.0,0.9,2.8,21.9,5.7,30.8,2.9,8.8,30.0,3.5
101,0.4,0.7,0.6,16.6,0.5,2.1,29.9,9.3,22.0,5.9,17.6,34.0,9.9
102,1.0,0.7,0.4,13.5,0.8,2.9,41.9,10.2,22.4,10.9,16.8,33.7,7.7
103,0.5,0.7,0.4,12.4,0.9,1.9,39.7,7.0,29.0,14.0,16.7,37.6,10.2
104,1.0,0.5,0.3,15.4,0.5,3.3,33.4,5.9,30.8,10.8,21.7,39.1,9.4
105,0.9,0.3,0.3,15.8,0.9,2.6,25.9,10.1,26.1,6.4,17.7,34.2,4.0
106,0.9,0.8,0.6,15.6,0.7,2.7,13.2,7.4,27.2,2.1,23.6,33.3,8.7
107,0.7,0.4,0.3,13.4,0.5,2.3,8.9,5.6,30.6,1.0,19.7,33.8,14.6
108,0.8,0.6,0.5,16.8,0.7,3.5,14.6,6.7,33.7,0.7,23.4,49.4,39.5
109,0.9,0.4,0.4,15.3,1.0,2.0,11.1,7.8,34.2,1.4,13.1,55.9,52.9
110,0.9,0.7,0.4,13.6,0.5,2.2,6.1,9.8,41.3,1.4,16.0,49.1,35.8
111,0.5,0.5,0.6,9.9,0.7,2.0,9.0,10.7,36.8,0.7,20.5,29.8,21.4
112,0.9,0.7,0.3,11.1,1.1,2.7,15.7,5.3,33.3,1.6,21.5,23.5,9.8
113,0.4,0.4,0.2,10.0,0.5,3.8,14.2,7.0,26.7,1.1,12.7,14.2,7.5
114,0.6,0.5,0.4,13.1,0.7,3.1,14.7,7.4,23.3,1.6,19.1,23.7,4.0
115,0.4,0.8,0.3,16.5,0.6,2.9,13.0,10.7,26.9,1.0,12.3,18.0,11.6
116,0.5,0.5,0.4,14.8,0.8,1.8,13.6,24.2,21.0,1.2,17.8,18.3,6.8
117,0.5,0.7,0.5,16.2,1.0,3.5,8.0,21.3,28.1,1.5,12.6,22.3,10.9
118,0.8,0.6,0.6,9.9,0.8,3.3,16.6,18.9,23.1,1.0,15.3,25.9,8.6
119,0.5,0.6,0.5,14.8,0.8,3.4,9.3,11.8,27.8,1.7,14.4,36.6,10.9
120,0.3,0.8,0.4,8.5,1.1,3.6,19.0,6.8,20.0,1.7,6.6,35.7,10.1
121,0.6,0.7,0.3,11.9,0.5,2.9,14.7,4.9,28.6,1.6,8.7,37.1,6.6
122,0.8,1.4,0.4,13.1,0.8,2.4,17.9,6.0,25.2,0.5,16.6,33.3,8.6
123,0.9,4.8,0.2,14.7,0.8,4.4,13.9,6.9,21.7,1.5,14.1,30.3,4.8
124,0.9,12.9,0.3,11.2,0.5,4.2,6.4,6.3,24.6,1.0,7.0,32.4,9.5
125,0.9,24.5,0.7,9.2,0.5,1.9,8.4,5.5,22.7,0.9,7.4,28.8,7.7
126,0.2,30.8,2.5,15.6,0.6,2.3,20.0,7.9,29.3,0.5,7.9,24.5,9.2
127,0.3,24.6,12.8,12.5,0.6,2.0,6.2,7.3,21.6,1.1,16.6,30.3,12.0
128,1.0,12.9,35.8,7.9,0.5,3.4,14.9,7.7,24.8,0.9,17.0,22.7,11.2
129,0.6,4.6,50.8,8.3,0.6,2.5,20.0,6.7,19.5,1.4,19.5,21.4,6.9
130,0.4,1.5,43.3,7.5,0.9,2.7,9.9,5.0,22.3,0.8,14.3,22.7,4.6
131,0.7,0.4,60.4,10.7,0.7,2.7,18.7,9.5,28.9,1.0,22.5,21.0,5.0
132,0.8,0.3,90.5,8.5,1.0,3.3,9.8,10.0,24.6,0.7,30.7,13.2,3.8
133,0.7,0.5,48.0,9.8,1.0,3.4,11.5,4.6,22.0,0.8,47.8,21.1,9.2
134,0.7,0.5,8.0,12.0,0.6,5.2,19.6,7.2,26.0,0.7,48.8,19.4,5.3
135,0.9,0.9,0.9,9.3,0.9,10.8,14.2,6.7,24.8,1.2,46.8,20.9,5.6
136,0.4,4.1,0.4,7.1,0.6,15.5,17.8,10.6,24.7,1.7,28.4,23.2,7.3
137,0.4,20.2,0.4,10.1,0.6,12.9,8.5,12.1,21.4,0.5,18.1,28.2,8.8
138,0.8,55.7,0.5,7.2,0.6,7.6,13.3,11.4,25.6,0.9,12.3,31.1,9.2
139,0.5,78.8,0.6,12.0,0.9,4.8,9.1,17.7,23.5,1.7,16.9,31.6,7.5
140,0.8,55.9,0.6,13.0,0.5,1.9,9.7,23.6,19.1,1.0,13.7,35.0,11.4
141,0.7,19.8,0.5,13.2,0.5,3.6,14.6,29.9,25.5,0.7,14.4,38.5,9.3
142,0.9,3.9,0.4,10.8,0.5,3.7,7.2,21.3,19.6,1.2,15.1,39.7,6.0
143,0.4,0.8,0.5,9.4,0.5,1.2,9.6,21.5,22.9,1.7,16.5,38.6,4.0
144,2.4,0.5,0.5,7.3,0.7,1.5,15.8,12.2,27.5,1.6,10.8,30.8,12.0
145,17.3,0.4,0.3,10.1,0.9,2.7,6.0,9.1,27.5,1.4,8.3,30.4,8.3
146,57.6,0.6,0.2,7.5,0.8,1.6,7.6,10.9,27.4,0.8,12.6,32.7,3.3
147,87.6,0.4,0.5,8.9,0.7,3.0,16.5,8.3,18.2,0.8,19.6,25.3,3.2
148,62.6,0.7,0.3,13.7,0.5,2.3,14.1,8.7,25.3,1.6,24.3,21.6,9.1
149,28.7,0.6,0.4,8.6,0.6,1.9,12.5,7.1,18.7,1.5,31.4,20.3,7.8
150,22.7,0.5,0.2,9.9,1.0,2.2,11.0,9.5,24.6,1.3,31.2,13.6,7.4
151,29.4,0.6,0.3,12.7,0.8,2.4,12.7,4.4,22.4,1.7,19.5,15.0,9.6
152,36.7,0.7,0.3,13.5,0.9,3.1,6.6,9.0,19.8,1.1,17.6,22.5,9.8
153,40.7,0.5,0.5,9.5,0.9,2.6,10.5,7.4,24.7,1.4,19.1,15.0,5.1
154,39.4,0.3,0.4,10.2,1.0,2.5,15.9,4.3,27.4,0.8,12.7,20.3,3.6
155,34.3,0.5,0.2,7.7,0.5,2.4,13.9,9.2,23.8,1.6,10.2,22.9,5.8
156,27.8,0.7,0.4,9.3,0.5,1.6,17.6,4.1,23.4,1.3,15.5,28.9,4.3
157,21.5,0.8,0.3,12.7,1.0,1.6,16.3,4.9,25.0,3.5,19.3,33.5,10.7
158,17.4,0.7,0.5,11.0,0.9,4.3,14.6,4.4,25.1,5.0,17.8,27.6,10.3
159,15.0,0.4,0.2,11.5,1.1,2.7,19.5,10.0,19.3,8.5,16.0,37.6,7.3
160,13.6,0.5,0.4,8.4,1.0,4.2,9.9,10.6,22.6,9.2,19.7,55.1,6.3
161,12.9,0.6,0.4,7.3,0.5,2.0,12.4,5.4,17.5,8.6,16.3,59.5,3.3
162,12.0,0.7,0.5,7.4,0.7,3.8,14.5,5.4,21.0,5.7,21.6,49.0,3.8
163,10.5,0.5,0.6,8.9,1.0,2.3,8.9,5.8,20.0,2.7,13.3,37.2,4.8
164,9.0,0.7,0.2,8.7,1.1,3.7,25.2,4.5,24.9,1.4,15.5,30.1,4.0
165,7.4,0.6,0.5,10.3,0.4,1.9,26.2,9.1,23.3,1.5,12.7,29.0,8.5
166,6.2,0.6,0.3,6.3,0.7,4.4,45.7,10.4,20.7,1.3,14.6,31.4,8.1
167,4.6,0.4,0.5,7.4,0.5,1.8,30.3,10.8,24.9,1.5,15.3,21.3,11.8
168,3.9,0.5,0.3,7.1,0.9,2.8,27.3,9.3,23.1,0.5,9.5,21.8,11.6
169,3.0,0.8,0.3,11.7,0.6,2.4,18.7,9.2,18.1,0.8,9.8,19.0,9.8
170,2.3,0.4,0.4,10.3,0.6,2.7,15.0,7.2,25.8,1.2,16.1,16.7,10.6
171,1.5,0.5,0.4,11.0,0.6,3.4,10.9,7.2,22.1,1.6,8.3,14.8,10.9
172,0.8,0.5,0.6,12.5,0.4,3.9,13.7,7.9,22.6,1.1,15.8,19.5,10.2
173,0.8,0.8,0.2,9.5,1.1,2.4,9.5,10.5,18.4,1.2,8.9,24.4,10.6
174,0.6,0.8,0.2,7.7,1.1,2.5,15.4,6.6,18.6,1.1,15.8,16.0,8.3
175,0.3,0.6,0.3,9.1,0.7,1.9,12.3,5.3,23.5,1.6,8.6,25.5,3.2
176,1.0,0.8,0.3,6.5,0.6,4.0,15.8,10.0,23.8,0.5,15.5,27.5,8.0
177,0.8,0.4,0.5,10.8,0.6,2.8,7.9,5.0,20.6,1.5,10.9,32.8,4.1
178,0.7,0.6,0.3,12.4,1.1,3.9,14.2,8.7,21.6,1.3,8.6,28.6,4.8
179,0.5,0.7,0.3,7.2,0.6,4.3,8.8,10.0,18.4,0.6,11.8,39.0,11.1
